#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
259383	4846	3320	110909	109552	-	-	NOS3	HSP90AA1	ECNOS|eNOS	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-Western	physical	Venema RC (2003)	PUBMED:12676772	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P29474	A0S0A6|E7ESA7	NP_001153581|NP_000594|NP_001153583|NP_001153582	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259390	2983	3320	109238	109552	-	-	GUCY1B3	HSP90AA1	GC-S-beta-1|GC-SB3|GUC1B3|GUCB3|GUCSB3|GUCY1B1	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Reconstituted Complex	physical	Venema RC (2003)	PUBMED:12676772	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q02153	B7Z6G8|B7Z9H9|B7Z685|E9PCN2|D6RC99	NP_001278884|NP_001278883|NP_001278882|NP_001278881|NP_001278880|NP_000848	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259392	2983	3320	109238	109552	-	-	GUCY1B3	HSP90AA1	GC-S-beta-1|GC-SB3|GUC1B3|GUCB3|GUCSB3|GUCY1B1	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-Western	physical	Venema RC (2003)	PUBMED:12676772	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q02153	B7Z6G8|B7Z9H9|B7Z685|E9PCN2|D6RC99	NP_001278884|NP_001278883|NP_001278882|NP_001278881|NP_001278880|NP_000848	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259394	3320	2983	109552	109238	-	-	HSP90AA1	GUCY1B3	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	GC-S-beta-1|GC-SB3|GUC1B3|GUCB3|GUCSB3|GUCY1B1	Affinity Capture-Western	physical	Venema RC (2003)	PUBMED:12676772	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	Q02153	B7Z6G8|B7Z9H9|B7Z685|E9PCN2|D6RC99	NP_001278884|NP_001278883|NP_001278882|NP_001278881|NP_001278880|NP_000848	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259510	3054	3320	109304	109552	-	-	HCFC1	HSP90AA1	CFF|HCF|HCF-1|HCF1|HFC1|MRX3|PPP1R89|VCAF	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-MS	physical	Wysocka J (2003)	PUBMED:12670868	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P51610	A6NEM2	NP_005325	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259790	3320	4609	109552	110694	-	-	HSP90AA1	MYC	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	MRTL|MYCC|bHLHe39|c-Myc	Affinity Capture-Western	physical	Carystinos GD (2003)	PUBMED:12644583	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	P01106	-	NP_002458|NP_001341799	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259999	3320	10928	109552	116131	-	-	HSP90AA1	RALBP1	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	RIP1|RLIP1|RLIP76	Affinity Capture-Western	physical	Hu Y (2003)	PUBMED:12621024	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	Q15311	-	NP_006779	-	-	-	-	-	-	Homo sapiens	Homo sapiens
260000	3320	3297	109552	109530	-	-	HSP90AA1	HSF1	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	HSTF1	Affinity Capture-Western	physical	Hu Y (2003)	PUBMED:12621024	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	Q00613	-	NP_005517	-	-	-	-	-	-	Homo sapiens	Homo sapiens
260001	3320	7846	109552	113603	-	-	HSP90AA1	TUBA1A	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	B-ALPHA-1|LIS3|TUBA3	Affinity Capture-Western	physical	Hu Y (2003)	PUBMED:12621024	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	Q71U36	-	NP_001257329|NP_001257328|NP_006000	-	-	-	-	-	-	Homo sapiens	Homo sapiens
261926	2099	3320	108403	109552	RP1-130E4.1	-	ESR1	HSP90AA1	ER|ESR|ESRA|ESTRR|Era|NR3A1	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Reconstituted Complex	physical	Nair SC (1996)	PUBMED:9222609	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P03372	Q9UBT1|G4XH65|A8KAF4	NP_001116213|NP_000116|NP_001278159|NP_001278170|NP_001116212|NP_001116214	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
261929	2242	3320	108533	109552	-	-	FES	HSP90AA1	FPS	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Reconstituted Complex	physical	Nair SC (1996)	PUBMED:9222609	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07332	A0A024RC92	NP_001996|NP_001137256|NP_001137257|NP_001137255	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
261941	3297	3320	109530	109552	-	-	HSF1	HSP90AA1	HSTF1	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Reconstituted Complex	physical	Nair SC (1996)	PUBMED:9222609	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q00613	-	NP_005517	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
262468	29665	3320	248286	109552	-	-	P2rx7	HSP90AA1	-	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-Western	physical	Kim M (2001)	PUBMED:11707406	10116	9606	Low Throughput	-	-	-	-	BIOGRID	Q64663	C8YIX5	NP_062129	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Rattus norvegicus	Homo sapiens
262487	29665	3320	248286	109552	-	-	P2rx7	HSP90AA1	-	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-MS	physical	Kim M (2001)	PUBMED:11707406	10116	9606	Low Throughput	-	-	-	-	BIOGRID	Q64663	C8YIX5	NP_062129	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Rattus norvegicus	Homo sapiens
262876	3320	1457	109552	107841	-	-	HSP90AA1	CSNK2A1	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	CK2A1|CKII|CSNK2A3	Reconstituted Complex	physical	Miyata Y (1995)	PUBMED:7794926	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	P68400	-	NP_808228|NP_001886|NP_001349700|NP_001349699|NP_808227	-	-	-	-	-	-	Homo sapiens	Homo sapiens
262877	3320	1459	109552	107842	-	-	HSP90AA1	CSNK2A2	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	CK2A2|CSNK2A1	Reconstituted Complex	physical	Miyata Y (1995)	PUBMED:7794926	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	P19784	-	NP_001887	-	-	-	-	-	-	Homo sapiens	Homo sapiens
268246	3320	7015	109552	112874	-	-	HSP90AA1	TERT	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	CMM9|DKCA2|DKCB4|EST2|PFBMFT1|TCS1|TP2|TRT|hEST2|hTRT	Affinity Capture-Western	physical	Haendeler J (2003)	PUBMED:12586360	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	O14746	-	NP_937983|NP_001180305	BTO:0001949	HUVEC cell	cell line	-	-	-	Homo sapiens	Homo sapiens
268247	3320	207	109552	106710	-	-	HSP90AA1	AKT1	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	Affinity Capture-Western	physical	Haendeler J (2003)	PUBMED:12586360	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	P31749	B0LPE5|B3KVH4	NP_005154|NP_001014432|NP_001014431|NP_001369359|NP_001369362|NP_001369361|NP_001369360	BTO:0001949	HUVEC cell	cell line	-	-	-	Homo sapiens	Homo sapiens
270425	3320	3320	109552	109552	-	-	HSP90AA1	HSP90AA1	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	2.0	-	-	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
271794	6189	3320	112103	109552	-	-	RPS3A	HSP90AA1	FTE1|MFTL|S3A	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	5.0	-	-	-	BIOGRID	P61247	B7Z3M5	NP_001254628|NP_000997	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
275641	2908	3320	109165	109552	-	-	NR3C1	HSP90AA1	GCCR|GCR|GCRST|GR|GRL	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Co-localization	physical	Jibard N (1999)	PUBMED:10066374	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
276195	7157	3320	113010	109552	-	-	TP53	HSP90AA1	BCC7|LFS1|P53|TRP53	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-Western	physical	Wang C (2003)	PUBMED:12427754	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
277452	7818	3320	113587	109552	-	-	DAP3	HSP90AA1	DAP-3|MRP-S29|MRPS29|bMRP-10	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Reconstituted Complex	physical	Hulkko SM (2000)	PUBMED:10903152	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P51398	-	NP_001186780|NP_004623|NP_001186779|NP_001186778|NP_387506	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
277460	3320	7818	109552	113587	-	-	HSP90AA1	DAP3	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	DAP-3|MRP-S29|MRPS29|bMRP-10	Affinity Capture-Western	physical	Hulkko SM (2000)	PUBMED:10903152	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	P51398	-	NP_001186780|NP_004623|NP_001186779|NP_001186778|NP_387506	-	-	-	-	-	-	Homo sapiens	Homo sapiens
277461	3320	2908	109552	109165	-	-	HSP90AA1	NR3C1	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	GCCR|GCR|GCRST|GR|GRL	Affinity Capture-Western	physical	Hulkko SM (2000)	PUBMED:10903152	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	P04150	E5KQF6|E5KQF5|F1D8N4	NP_001018087|NP_001018086|NP_001018085|NP_001018084|NP_001191187|NP_001351109|NP_001191191|NP_001191188|NP_001191189|NP_001351114|NP_001019265|NP_001191193|NP_001351112|NP_001351113|NP_001191194|NP_001351111|NP_001351110|NP_000167|NP_001191190|NP_001018661|NP_001191192	-	-	-	-	-	-	Homo sapiens	Homo sapiens
277847	6492	3320	112383	109552	-	-	SIM1	HSP90AA1	bHLHe14	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Reconstituted Complex	physical	Probst MR (1997)	PUBMED:9020169	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P81133	-	NP_005059	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
278677	3320	4654	109552	110737	-	-	HSP90AA1	MYOD1	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	MYF3|MYOD|PUM|bHLHc1	Reconstituted Complex	physical	Shaknovich R (1992)	PUBMED:1406681	9606	9606	Low Throughput	-	-	crosslinking	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	P15172	-	NP_002469	-	-	-	-	-	-	Homo sapiens	Homo sapiens
278679	10963	3320	116162	109552	-	-	STIP1	HSP90AA1	HEL-S-94n|HOP|IEF-SSP-3521|P60|STI1|STI1L	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Reconstituted Complex	physical	Scheufler C (2000)	PUBMED:10786835	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P31948	V9HW72	NP_001269581|NP_001269582|NP_006810	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
279078	5292	3320	111310	109552	-	-	PIM1	HSP90AA1	PIM	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-Western	physical	Mizuno K (2001)	PUBMED:11237709	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P11309	A0A024RD25	NP_001230115|NP_002639	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
279079	5292	3320	111310	109552	-	-	PIM1	HSP90AA1	PIM	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-MS	physical	Mizuno K (2001)	PUBMED:11237709	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P11309	A0A024RD25	NP_001230115|NP_002639	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
279080	3320	5292	109552	111310	-	-	HSP90AA1	PIM1	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	PIM	Affinity Capture-Western	physical	Mizuno K (2001)	PUBMED:11237709	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	P11309	A0A024RD25	NP_001230115|NP_002639	-	-	-	-	-	-	Homo sapiens	Homo sapiens
279530	2099	3320	108403	109552	RP1-130E4.1	-	ESR1	HSP90AA1	ER|ESR|ESRA|ESTRR|Era|NR3A1	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-Western	physical	Lee MO (2002)	PUBMED:11911945	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P03372	Q9UBT1|G4XH65|A8KAF4	NP_001116213|NP_000116|NP_001278159|NP_001278170|NP_001116212|NP_001116214	P07900	Q86SX1|K9JA46	NP_005339|NP_001017963	-	-	-	-	-	-	Homo sapiens	Homo sapiens
