#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
263620	332	9212	106829	114646	-	-	BIRC5	AURKB	API4|EPR-1	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Reconstituted Complex	physical	Chen J (2003)	PUBMED:12419797	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15392	H3BLT4	NP_001159|NP_001012270|NP_001012271	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
263621	332	9212	106829	114646	-	-	BIRC5	AURKB	API4|EPR-1	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Phenotypic Enhancement	genetic	Chen J (2003)	PUBMED:12419797	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15392	H3BLT4	NP_001159|NP_001012270|NP_001012271	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
263624	332	9212	106829	114646	-	-	BIRC5	AURKB	API4|EPR-1	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Reconstituted Complex	physical	Wheatley SP (2001)	PUBMED:11516652	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15392	H3BLT4	NP_001159|NP_001012270|NP_001012271	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
300525	151648	9212	127395	114646	-	-	SGOL1	AURKB	NY-BR-85|SGO|Sgo1	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Affinity Capture-Western	physical	Kawashima SA (2007)	PUBMED:17322402	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q5FBB7	A0A024R2J4|B5BUA4	NP_001186185|NP_001012412|NP_612493|NP_001186183|NP_001012409|NP_001186180|NP_001186186|NP_001186184|NP_001186181|NP_001186182|NP_001012413|NP_001012410|NP_001012411	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
318394	580	9212	107056	114646	-	-	BARD1	AURKB	-	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Affinity Capture-Western	physical	Ryser S (2009)	PUBMED:19176389	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q99728	F6MDI1|F6MDI2|A0A087WZ19|A0A087X2H0|F6MDI0|A0AVN2	NP_001269478|NP_000456|NP_001269472|NP_001269474|NP_001269477	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
318399	9212	580	114646	107056	-	-	AURKB	BARD1	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	-	Affinity Capture-Western	physical	Ryser S (2009)	PUBMED:19176389	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	Q99728	F6MDI1|F6MDI2|A0A087WZ19|A0A087X2H0|F6MDI0|A0AVN2	NP_001269478|NP_000456|NP_001269472|NP_001269474|NP_001269477	-	-	-	-	-	-	Homo sapiens	Homo sapiens
318400	675	9212	107142	114646	RP11-298P3.4	-	BRCA2	AURKB	BRCC2|BROVCA2|FACD|FAD|FAD1|FANCD|FANCD1|GLM3|PNCA2|XRCC11	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Affinity Capture-Western	physical	Ryser S (2009)	PUBMED:19176389	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P51587	-	NP_000050	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
335820	9212	10112	114646	115418	-	-	AURKB	KIF20A	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	MKLP2|RAB6KIFL	Reconstituted Complex	physical	Gruneberg U (2004)	PUBMED:15263015	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	O95235	-	NP_005724	-	-	-	-	-	-	Homo sapiens	Homo sapiens
449056	9212	5925	114646	111860	-	RP11-174I10.1	AURKB	RB1	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Reconstituted Complex	physical	Nair JS (2009)	PUBMED:19225156	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	P06400	A0A024RDV3	NP_000312	-	-	-	-	-	-	Homo sapiens	Homo sapiens
449057	9212	5925	114646	111860	-	RP11-174I10.1	AURKB	RB1	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Biochemical Activity	physical	Nair JS (2009)	PUBMED:19225156	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	P06400	A0A024RDV3	NP_000312	-	-	-	-	-	-	Homo sapiens	Homo sapiens
449058	9212	5925	114646	111860	-	RP11-174I10.1	AURKB	RB1	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	OSRC|PPP1R130|RB|p105-Rb|pRb|pp110	Affinity Capture-Western	physical	Nair JS (2009)	PUBMED:19225156	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	P06400	A0A024RDV3	NP_000312	-	-	-	-	-	-	Homo sapiens	Homo sapiens
463514	3619	9212	109831	114646	-	-	INCENP	AURKB	-	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Affinity Capture-Western	physical	Xu Z (2009)	PUBMED:19951914	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9NQS7	-	NP_064623|NP_001035784	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
463515	3619	9212	109831	114646	-	-	INCENP	AURKB	-	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Co-localization	physical	Xu Z (2009)	PUBMED:19951914	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9NQS7	-	NP_064623|NP_001035784	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
463516	332	9212	106829	114646	-	-	BIRC5	AURKB	API4|EPR-1	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Co-localization	physical	Xu Z (2009)	PUBMED:19951914	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15392	H3BLT4	NP_001159|NP_001012270|NP_001012271	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
463517	55143	9212	120446	114646	-	-	CDCA8	AURKB	BOR|BOREALIN|DasraB|MESRGP	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Co-localization	physical	Xu Z (2009)	PUBMED:19951914	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q53HL2	-	NP_001243804|NP_060571	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
463566	9212	54888	114646	120236	-	-	AURKB	NSUN2	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	MISU|MRT5|SAKI|TRM4	Biochemical Activity	physical	Sakita-Suto S (2007)	PUBMED:17215513	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	Q08J23	-	NP_060225|NP_001180384	-	-	-	-	-	-	Homo sapiens	Homo sapiens
471106	3619	9212	109831	114646	-	-	INCENP	AURKB	-	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Affinity Capture-Western	physical	Katayama H (2008)	PUBMED:18773538	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9NQS7	-	NP_064623|NP_001035784	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
472210	7813	9212	113584	114646	-	-	EVI5	AURKB	NB4S	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Affinity Capture-Western	physical	Faitar SL (2006)	PUBMED:16764853	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60447	Q59FE7	NP_005656	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
472213	7813	9212	113584	114646	-	-	EVI5	AURKB	NB4S	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Reconstituted Complex	physical	Faitar SL (2006)	PUBMED:16764853	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O60447	Q59FE7	NP_005656	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
511506	16319	9212	200760	114646	-	-	Incenp	AURKB	2700067E22Rik|AU019509|C130081E20|C77457	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Reconstituted Complex	physical	Kaitna S (2000)	PUBMED:11050385	10090	9606	Low Throughput	-	-	-	-	BIOGRID	Q9WU62	-	NP_057901	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Mus musculus	Homo sapiens
511508	3619	9212	109831	114646	-	-	INCENP	AURKB	-	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Reconstituted Complex	physical	Kaitna S (2000)	PUBMED:11050385	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9NQS7	-	NP_064623|NP_001035784	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
530650	9212	8350	114646	113946	-	-	AURKB	HIST1H3A	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	H3/A|H3FA	Reconstituted Complex	physical	Han A (2011)	PUBMED:21397507	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	P68431	-	NP_003520	-	-	-	-	-	-	Homo sapiens	Homo sapiens
530652	9212	8350	114646	113946	-	-	AURKB	HIST1H3A	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	H3/A|H3FA	Biochemical Activity	physical	Han A (2011)	PUBMED:21397507	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	P68431	-	NP_003520	-	-	-	-	-	-	Homo sapiens	Homo sapiens
555885	26155	9212	117586	114646	-	-	NOC2L	AURKB	NET15|NET7|NIR|PPP1R112	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Affinity Capture-Western	physical	Wu L (2011)	PUBMED:20959462	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9Y3T9	-	NP_056473	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
555887	7157	9212	113010	114646	-	-	TP53	AURKB	BCC7|LFS1|P53|TRP53	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Affinity Capture-Western	physical	Wu L (2011)	PUBMED:20959462	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
559254	9212	11186	114646	116356	-	-	AURKB	RASSF1	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	123F2|NORE2A|RASSF1A|RDA32|REH3P21	Biochemical Activity	physical	Chow C (2011)	PUBMED:21874044	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	Q9NS23	-	NP_001193886|NP_733832|NP_009113|NP_733830|NP_733831	-	-	-	-	-	-	Homo sapiens	Homo sapiens
571501	9212	332	114646	106829	-	-	AURKB	BIRC5	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	API4|EPR-1	Affinity Capture-Western	physical	Maerki S (2009)	PUBMED:19995937	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	O15392	H3BLT4	NP_001159|NP_001012270|NP_001012271	-	-	-	-	-	-	Homo sapiens	Homo sapiens
571502	9212	3619	114646	109831	-	-	AURKB	INCENP	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	-	Affinity Capture-Western	physical	Maerki S (2009)	PUBMED:19995937	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	Q9NQS7	-	NP_064623|NP_001035784	-	-	-	-	-	-	Homo sapiens	Homo sapiens
571503	9212	55958	114646	121009	-	RP11-380P16.6	AURKB	KLHL9	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	-	Affinity Capture-Western	physical	Maerki S (2009)	PUBMED:19995937	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	Q9P2J3	Q58EZ4	NP_061335	-	-	-	-	-	-	Homo sapiens	Homo sapiens
571504	9212	9903	114646	115232	-	-	AURKB	KLHL21	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	-	Affinity Capture-Western	physical	Maerki S (2009)	PUBMED:19995937	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	Q9UJP4	-	NP_001311238|NP_055666	-	-	-	-	-	-	Homo sapiens	Homo sapiens
571505	55958	9212	121009	114646	RP11-380P16.6	-	KLHL9	AURKB	-	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Reconstituted Complex	physical	Maerki S (2009)	PUBMED:19995937	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9P2J3	Q58EZ4	NP_061335	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
571506	9903	9212	115232	114646	-	-	KLHL21	AURKB	-	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Reconstituted Complex	physical	Maerki S (2009)	PUBMED:19995937	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q9UJP4	-	NP_001311238|NP_055666	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
